user_id,username,full_name,email,phone,password,address,city,country,gender,date_of_birth,loyalty_points,is_active,created_at
27,voson27,Vo Son,voson27@gmail.com,0883540409,password27,292 Vo Van Tan,Hai Phong,Viet Nam,Female,31/03/1981,3044,TRUE,2021-12-29T08:06:51.738
28,duongduc28,Duong Duc,duongduc28@gmail.com,0588633067,password28,33 Ly Thuong Kiet,Nha Trang,Viet Nam,Male,22/05/1999,4305,FALSE,2024-08-03T08:06:51.738
29,hoangthao29,Hoang Thao,hoangthao29gmail.com,0966301405,password29,142 Cach Mang Thang 8,Nha Trang,Viet Nam,Male,07/06/2002,4794,TRUE,2023-12-04T08:06:51.738
30,vuviet30,Vu Viet,vuviet30@gmail.com,0318590162,password30,99 Le Loi,Hai Phong,Viet Nam,Female,20/12/1981,278,TRUE,2022-03-03T08:06:51.738
31,duongduchoa31,Duong Duc Hoa,duongduchoa31@gmail.com,0717553913,password31,21 Vo Van Tan,Hai Phong,Viet Nam,Male,24/08/1970,1270,TRUE,2024-03-19T08:06:51.738
32,buingochung32,Bui Ngoc Hung,buingochung32@gmail.com,05324683,password32,177 Nguyen Trai,Can Tho,Viet Nam,Male,10/12/1985,4910,TRUE,2022-04-10T08:06:51.738
33,dangthanhtuan33,Dang Thanh Tuan,dangthanhtuan33@yahoo.com,0728080962,password33,14 Nguyen Trai,Da Nang,Viet Nam,Female,14/06/1992,4180,TRUE,2024-05-01T08:06:51.738
34,nguyenhuuhoa34,Nguyen Huu Hoa,nguyenhuuhoa34@outlook.com,0587534835,password34,163 Nguyen Trai,Da Nang,Viet Nam,Female,05/09/1985,234,FALSE,2023-10-03T08:06:51.738
35,lyphuong35,Ly Phuong,lyphuong35@yahoo.com,0894675030,password35,68 Ly Thuong Kiet,Nha Trang,Viet Nam,Female,17/08/1994,1043,TRUE,2024-02-05T08:06:51.738
36,nguyenvanquang36,Nguyen Van Quang,nguyenvanquang36@outlook.com,0850096135,password36,120 Nguyen Trai,Ho Chi Minh,Viet Nam,Female,04/08/1987,939,TRUE,2024-05-10T08:06:51.738
37,votuan37,Vo Tuan,votuan37@,0966933019,password37,298 Vo Van Tan,Hai Phong,Viet Nam,Female,28/04/2001,4992,TRUE,2023-04-12T08:06:51.738
38,ngonga38,Ngo Nga,ngonga38@yahoo.com,0552683838,password38,191 Vo Van Tan,Hai Phong,Viet Nam,Male,11/10/2004,3593,TRUE,2023-11-12T08:06:51.738
39,vongoclong39,Vo Ngoc Long,vongoclong39@gmail.com,0877151452,password39,41 Vo Van Tan,Hai Phong,Viet Nam,Female,16/06/1975,154,TRUE,2022-03-04T08:06:51.738
40,doquang40,Do Quang,doquang40@outlook.com,03159845839743,password40,104 Nguyen Trai,Ha Noi,Viet Nam,Male,08/08/2000,3130,TRUE,2022-01-14T08:06:51.738
41,buibinh41,Bui Binh,buibinh41@yahoo.com,0855100264,password41,175 Nguyen Trai,Nha Trang,Viet Nam,Female,16/09/1998,2115,TRUE,2022-02-28T08:06:51.738
42,dovanhoa42,Do Van Hoa,dovanhoa42@outlook.com,0770635311,password42,181 Hai Ba Trung,Nha Trang,Viet Nam,Male,03/10/1975,3987,TRUE,2022-07-02T08:06:51.738
43,vovan43,Vo Van,vovan43@,0946165449,password43,291 Ly Thuong Kiet,Ha Noi,Viet Nam,Male,06/07/1983,2105,TRUE,2022-05-08T08:06:51.738
44,lehuunga44,Le Huu Nga,lehuunga44@outlook.com,0379628446,password44,236 Tran Hung Dao,Nha Trang,Viet Nam,Male,29/09/2002,4305,TRUE,2023-06-21T08:06:51.738
45,hoangminhdat45,Hoang Minh Dat,hoangminhdat45@gmail.com,0831337196,password45,144 Vo Van Tan,Can Tho,Viet Nam,Female,02/03/2001,3070,TRUE,2022-06-05T08:06:51.738
46,tranhung46,Tran Hung,tranhung46@outlook.com,0995527914,password46,9 Nguyen Trai,Can Tho,Viet Nam,Male,13/10/1971,4982,TRUE,2022-08-18T08:06:51.738
47,ngogiang47,Ngo Giang,ngogiang47@outlook.com,03927113,password47,209 Nguyen Trai,Da Nang,Viet Nam,Female,11/08/1991,3622,TRUE,2023-03-05T08:06:51.738
48,ngohung48,Ngo Hung,ngohung48@,0594209422,password48,64 Le Loi,Can Tho,Viet Nam,Female,16/08/1989,147,TRUE,2025-09-09T08:06:51.738
49,hoangminh49,Hoang Minh,hoangminh49@yahoo.com,0338734642,password49,60 Le Loi,Nha Trang,Viet Nam,Male,01/09/1992,1990,TRUE,2023-11-02T08:06:51.738
50,lyquangduc50,Ly Quang Duc,lyquangduc50@outlook.com,0789753666,password50,235 Nguyen Trai,Ho Chi Minh,Viet Nam,Female,20/07/2000,1453,TRUE,2025-08-19T08:06:51.738
51,huynhvanhanh51,Huynh Van Hanh,huynhvanhanh51@gmail.com,07707356,password51,58 Tran Hung Dao,Da Nang,Viet Nam,Male,30/03/1983,4167,TRUE,2022-02-01T08:06:51.738
52,dangphuong52,Dang Phuong,dangphuong52@outlook.com,0310073129,password52,120 Cach Mang Thang 8,Can Tho,Viet Nam,Female,05/12/1988,352,TRUE,2025-02-18T08:06:51.738
53,hovan53,Ho Van,hovan53@gmail.com,08582376,password53,59 Vo Van Tan,Ho Chi Minh,Viet Nam,Female,25/12/1986,3496,TRUE,2022-01-08T08:06:51.738
54,hogiaquang54,Ho Gia Quang,hogiaquang54@outlook.com,0511211832,password54,1 Nguyen Trai,Ho Chi Minh,Viet Nam,Female,21/10/1994,1358,TRUE,2024-02-08T08:06:51.738
55,dangvanyen55,Dang Van Yen,dangvanyen55@gmail.com,0371022103,password55,7 Le Loi,Da Nang,Viet Nam,Female,27/01/1988,1459,TRUE,2024-03-26T08:06:51.738
56,hoangchau56,Hoang Chau,hoangchau56@gmail.com,0748494307,password56,106 Tran Hung Dao,Ho Chi Minh,Viet Nam,Female,01/02/1987,907,FALSE,2024-06-10T08:06:51.738
57,huynhhuutrang57,Huynh Huu Trang,huynhhuutrang57@outlook.com,05029124238087,password57,277 Tran Hung Dao,Ho Chi Minh,Viet Nam,Female,04/04/1987,3656,TRUE,2022-09-30T08:06:51.738
58,duongquanghanh58,Duong Quang Hanh,duongquanghanh58@gmail.com,0940805735,password58,35 Le Loi,Ha Noi,Viet Nam,Female,23/10/1992,4803,TRUE,2022-02-25T08:06:51.738
59,huynhyen59,Huynh Yen,huynhyen59@yahoo.com,0859453074,password59,14 Tran Hung Dao,Nha Trang,Viet Nam,Male,13/10/1985,3498,TRUE,2024-07-30T08:06:51.738
60,vuminh60,Vu Minh,vuminh60@outlook.com,0566401848,password60,259 Vo Van Tan,Ho Chi Minh,Viet Nam,Male,09/08/1973,2524,TRUE,2022-06-13T08:06:51.738
61,danggiatuan61,Dang Gia Tuan,danggiatuan61@gmail.com,0581694262,password61,266 Cach Mang Thang 8,Ha Noi,Viet Nam,Male,18/04/2002,4400,TRUE,2025-09-07T08:06:51.738
62,hoangnam62,Hoang Nam,hoangnam62@gmail.com,0987623004,password62,41 Vo Van Tan,Can Tho,Viet Nam,Female,08/04/1997,3636,TRUE,2025-01-01T08:06:51.738
63,lylam63,Ly Lam,lylam63@outlook.com,09285844,password63,228 Le Loi,Nha Trang,Viet Nam,Male,17/04/1994,104,TRUE,2022-04-23T08:06:51.738
64,duongtam64,Duong Tam,duongtam64gmail.com,0531686492,password64,24 Le Loi,Da Nang,Viet Nam,Male,19/08/1976,2002,TRUE,2024-12-12T08:06:51.738
65,tranhuucuong65,Tran Huu Cuong,tranhuucuong65@yahoo.com,09990889373244,password65,100 Ly Thuong Kiet,Can Tho,Viet Nam,Male,16/08/1970,509,TRUE,2024-06-12T08:06:51.738
66,dohuuyen66,Do Huu Yen,dohuuyen66@outlook.com,0846356636,password66,289 Nguyen Trai,Ho Chi Minh,Viet Nam,Male,16/12/1993,1214,TRUE,2025-04-25T08:06:51.738
67,vuquangdat67,Vu Quang Dat,vuquangdat67outlook.com,0863970520,password67,105 Cach Mang Thang 8,Nha Trang,Viet Nam,Female,28/08/1978,3175,TRUE,2024-03-18T08:06:51.738
68,hothichau68,Ho Thi Chau,hothichau68@outlook.com,05002003,password68,215 Cach Mang Thang 8,Can Tho,Viet Nam,Male,23/06/1976,4764,TRUE,2022-12-08T08:06:51.738
69,levanson69,Le Van Son,levanson69@gmail.com,0896817260,password69,199 Le Loi,Nha Trang,Viet Nam,Female,06/12/1994,2812,FALSE,2023-09-01T08:06:51.738
70,duongan70,Duong An,duongan70@gmail.com,0364811719,password70,120 Hai Ba Trung,Ha Noi,Viet Nam,Female,02/06/1985,2752,TRUE,2024-10-18T08:06:51.738
71,dangthithao71,Dang Thi Thao,dangthithao71@gmail.com,0962389825,password71,154 Hai Ba Trung,Can Tho,Viet Nam,Female,04/10/1970,2652,TRUE,2025-10-08T08:06:51.738
72,duongduchung72,Duong Duc Hung,duongduchung72@gmail.com,0798827629,password72,212 Le Loi,Can Tho,Viet Nam,Male,29/08/1979,608,TRUE,2023-04-05T08:06:51.738
73,ngobinh73,Ngo Binh,ngobinh73@gmail.com,0576467583,password73,296 Tran Hung Dao,Hai Phong,Viet Nam,Male,22/06/1998,4279,TRUE,2022-05-09T08:06:51.738
74,phanyen74,Phan Yen,phanyen74@gmail.com,0346064994,password74,47 Cach Mang Thang 8,Hai Phong,Viet Nam,Male,16/03/1975,3059,TRUE,2025-10-30T08:06:51.748
75,hominhcuong75,Ho Minh Cuong,hominhcuong75@gmail.com,0811066347,password75,51 Hai Ba Trung,Ho Chi Minh,Viet Nam,Male,14/08/1977,4189,TRUE,2024-02-15T08:06:51.748
76,ngoduccuong76,Ngo Duc Cuong,ngoduccuong76@outlook.com,0714809164,password76,245 Ly Thuong Kiet,Can Tho,Viet Nam,Male,14/08/1981,677,TRUE,2023-05-27T08:06:51.748
77,dominhhoa77,Do Minh Hoa,dominhhoa77@outlook.com,0369388430,password77,263 Hai Ba Trung,Ha Noi,Viet Nam,Male,28/12/2000,86,TRUE,2022-01-18T08:06:51.748
78,ngogiatam78,Ngo Gia Tam,ngogiatam78@gmail.com,0918424976,password78,174 Ly Thuong Kiet,Ho Chi Minh,Viet Nam,Female,17/02/1979,492,TRUE,2024-07-06T08:06:51.748
79,phamvan79,Pham Van,phamvan79@outlook.com,0893475617,password79,15 Hai Ba Trung,Nha Trang,Viet Nam,Female,05/09/1974,1138,TRUE,2024-09-15T08:06:51.748
80,phanminh80,Phan Minh,phanminh80@outlook.com,0940087455,password80,6 Nguyen Trai,Ho Chi Minh,Viet Nam,Female,07/02/1982,3600,TRUE,2024-10-29T08:06:51.748
81,dodat81,Do Dat,dodat81@gmail.com,0980986419,password81,234 Cach Mang Thang 8,Nha Trang,Viet Nam,Female,09/11/1998,420,FALSE,2026-01-23T08:06:51.748
82,hoanglinh82,Hoang Linh,hoanglinh82@outlook.com,0914369854,password82,196 Le Loi,Ho Chi Minh,Viet Nam,Male,18/07/2000,4932,TRUE,2025-03-05T08:06:51.748
83,lyanhhanh83,Ly Anh Hanh,lyanhhanh83@gmail.com,0596849510,password83,3 Tran Hung Dao,Da Nang,Viet Nam,Female,22/07/1982,1290,TRUE,2025-08-07T08:06:51.748
84,huynhquangan84,Huynh Quang An,huynhquangan84@yahoo.com,0974493343,password84,52 Cach Mang Thang 8,Nha Trang,Viet Nam,Male,04/05/1994,1010,TRUE,2024-12-19T08:06:51.748
85,trangiang85,Tran Giang,trangiang85@gmail.com,0915829844,password85,135 Hai Ba Trung,Can Tho,Viet Nam,Male,13/02/1999,371,TRUE,2022-08-11T08:06:51.748
86,dangnga86,Dang Nga,dangnga86@yahoo.com,0721770595,password86,16 Ly Thuong Kiet,Ho Chi Minh,Viet Nam,Female,06/08/1988,447,TRUE,2024-01-19T08:06:51.748
87,vongocnga87,Vo Ngoc Nga,vongocnga87@gmail.com,03981035725671,password87,205 Vo Van Tan,Nha Trang,Viet Nam,Female,24/07/1997,4832,TRUE,2024-05-21T08:06:51.748
88,phanyen88,Phan Yen,phanyen88@gmail.com,0854141262,password88,296 Hai Ba Trung,Can Tho,Viet Nam,Female,28/03/1972,806,TRUE,2024-10-06T08:06:51.748
89,hoangthihanh89,Hoang Thi Hanh,hoangthihanh89@yahoo.com,0780825564,password89,188 Le Loi,Da Nang,Viet Nam,Female,29/08/1975,2339,TRUE,2023-11-06T08:06:51.748
90,phangiayen90,Phan Gia Yen,phangiayen90@outlook.com,07846851,password90,168 Hai Ba Trung,Ho Chi Minh,Viet Nam,Male,02/05/1984,2993,TRUE,2025-06-10T08:06:51.748
91,lelam91,Le Lam,lelam91@yahoo.com,0597211600,password91,178 Hai Ba Trung,Da Nang,Viet Nam,Female,02/10/1986,2622,TRUE,2023-09-13T08:06:51.748
92,lygiacuong92,Ly Gia Cuong,lygiacuong92@gmail.com,0528371573,password92,284 Nguyen Trai,Da Nang,Viet Nam,Female,16/06/1984,3065,TRUE,2025-12-16T08:06:51.748
93,vuminhtrang93,Vu Minh Trang,vuminhtrang93@gmail.com,0565881335,password93,117 Nguyen Trai,Nha Trang,Viet Nam,Male,16/05/1978,4965,TRUE,2023-11-08T08:06:51.748
94,buituan94,Bui Tuan,buituan94@gmail.com,0886151860,password94,101 Nguyen Trai,Da Nang,Viet Nam,Female,06/04/1972,181,TRUE,2024-11-03T08:06:51.748
95,phanhieu95,Phan Hieu,phanhieu95@gmail.com,0849608068,password95,121 Nguyen Trai,Can Tho,Viet Nam,Female,02/10/1983,1705,TRUE,2024-08-15T08:06:51.748
96,nguyenquangviet96,Nguyen Quang Viet,nguyenquangviet96@yahoo.com,0820104210,password96,166 Le Loi,Ha Noi,Viet Nam,Male,17/08/1975,2150,FALSE,2025-04-23T08:06:51.748
97,lynam97,Ly Nam,lynam97@yahoo.com,0930943755,password97,48 Nguyen Trai,Can Tho,Viet Nam,Female,03/01/2000,3318,TRUE,2022-07-08T08:06:51.748
98,nguyenvantuan98,Nguyen Van Tuan,nguyenvantuan98@outlook.com,0881291145,password98,56 Vo Van Tan,Can Tho,Viet Nam,Female,16/05/1974,4923,TRUE,2022-07-22T08:06:51.748
99,hoangkhanh99,Hoang Khanh,hoangkhanh99@gmail.com,0995198323,password99,36 Cach Mang Thang 8,Can Tho,Viet Nam,Male,09/08/1989,2465,TRUE,2024-10-28T08:06:51.748
100,huynhcuong100,Huynh Cuong,huynhcuong100@gmail.com,08669468,password100,181 Hai Ba Trung,Da Nang,Viet Nam,Female,16/09/1980,4603,TRUE,2025-03-26T08:06:51.748
101,leson101,Le Son,leson101@outlook.com,0719834352,password101,162 Le Loi,Ho Chi Minh,Viet Nam,Female,20/08/1973,4113,TRUE,2024-01-25T08:06:51.748
102,tranchau102,Tran Chau,tranchau102@gmail.com,09093806,password102,108 Hai Ba Trung,Can Tho,Viet Nam,Male,05/03/1986,3474,TRUE,2024-11-12T08:06:51.748
103,dangngochoa103,Dang Ngoc Hoa,dangngochoa103@yahoo.com,0934472608,password103,298 Nguyen Trai,Can Tho,Viet Nam,Male,22/08/1990,125,TRUE,2024-12-10T08:06:51.748
104,dangcuong104,Dang Cuong,dangcuong104@outlook.com,0747477644,password104,128 Hai Ba Trung,Hai Phong,Viet Nam,Female,19/04/1971,4537,TRUE,2024-12-06T08:06:51.748
105,ngotrang105,Ngo Trang,ngotrang105@outlook.com,0940804644,password105,180 Ly Thuong Kiet,Hai Phong,Viet Nam,Male,05/06/1991,3804,TRUE,2025-08-18T08:06:51.748
106,vulong106,Vu Long,vulong106@yahoo.com,0988155491,password106,203 Vo Van Tan,Nha Trang,Viet Nam,Female,21/02/1979,2607,TRUE,2022-04-21T08:06:51.748
107,dovanvan107,Do Van Van,dovanvan107@gmail.com,0828929853,password107,114 Vo Van Tan,Nha Trang,Viet Nam,Male,28/08/2001,4852,TRUE,2022-05-05T08:06:51.748
108,phanthilinh108,Phan Thi Linh,phanthilinh108@outlook.com,0968596111,password108,261 Tran Hung Dao,Ha Noi,Viet Nam,Male,23/10/1984,3151,TRUE,2025-07-13T08:06:51.748
109,huynhhung109,Huynh Hung,huynhhung109@,0772153261,password109,7 Vo Van Tan,Nha Trang,Viet Nam,Male,14/10/1987,3760,TRUE,2024-11-10T08:06:51.748
110,dophuong110,Do Phuong,dophuong110@gmail.com,0915000235,password110,75 Cach Mang Thang 8,Da Nang,Viet Nam,Female,03/10/1982,2228,TRUE,2023-11-04T08:06:51.748
111,letrang111,Le Trang,letrang111@outlook.com,0827246374,password111,290 Nguyen Trai,Hai Phong,Viet Nam,Male,24/02/1971,2161,TRUE,2022-12-07T08:06:51.748
112,lythihoa112,Ly Thi Hoa,lythihoa112@outlook.com,0559354419,password112,86 Ly Thuong Kiet,Nha Trang,Viet Nam,Female,30/03/1985,1931,TRUE,2024-06-03T08:06:51.748
113,huynhnga113,Huynh Nga,huynhnga113@gmail.com,0563050110,password113,115 Tran Hung Dao,Can Tho,Viet Nam,Male,13/10/1981,527,TRUE,2024-10-05T08:06:51.748
114,tranlong114,Tran Long,tranlong114@gmail.com,0777647086,password114,131 Cach Mang Thang 8,Nha Trang,Viet Nam,Male,12/06/1978,2807,TRUE,2023-03-24T08:06:51.748
115,voanhson115,Vo Anh Son,voanhson115@outlook.com,0764118047,password115,181 Tran Hung Dao,Hai Phong,Viet Nam,Male,04/08/1991,4243,TRUE,2023-06-20T08:06:51.748
116,buinam116,Bui Nam,buinam116@outlook.com,0995376505,password116,116 Hai Ba Trung,Da Nang,Viet Nam,Female,13/11/1991,614,TRUE,2022-07-21T08:06:51.748
117,trandat117,Tran Dat,trandat117@outlook.com,0999922304,password117,97 Vo Van Tan,Nha Trang,Viet Nam,Male,19/04/1977,1711,FALSE,2025-08-25T08:06:51.748
118,duongngocminh118,Duong Ngoc Minh,duongngocminh118@outlook.com,0353002484,password118,185 Vo Van Tan,Nha Trang,Viet Nam,Female,07/02/1989,3973,TRUE,2023-02-04T08:06:51.748
119,vuquangnga119,Vu Quang Nga,vuquangnga119@gmail.com,0358318927,password119,11 Cach Mang Thang 8,Nha Trang,Viet Nam,Male,20/12/1998,3590,TRUE,2023-10-19T08:06:51.748
120,hoangchau120,Hoang Chau,hoangchau120@gmail.com,0780978827,password120,173 Vo Van Tan,Da Nang,Viet Nam,Female,24/03/2002,1126,TRUE,2023-10-19T08:06:51.748
121,huynhanhbinh121,Huynh Anh Binh,huynhanhbinh121@gmail.com,0851142931,password121,60 Le Loi,Ha Noi,Viet Nam,Female,19/09/1988,1172,TRUE,2023-01-04T08:06:51.748
122,vungocdat122,Vu Ngoc Dat,vungocdat122@gmail.com,0891894052,password122,98 Vo Van Tan,Can Tho,Viet Nam,Male,04/03/1980,2810,TRUE,2026-01-26T08:06:51.748
123,duongdat123,Duong Dat,duongdat123@outlook.com,0937307044,password123,114 Nguyen Trai,Da Nang,Viet Nam,Male,18/07/1987,4379,TRUE,2022-06-19T08:06:51.748
124,tranminh124,Tran Minh,tranminh124@outlook.com,0981746434,password124,184 Le Loi,Ho Chi Minh,Viet Nam,Male,09/04/1984,4112,TRUE,2025-09-24T08:06:51.754
125,hoanghanh125,Hoang Hanh,hoanghanh125@yahoo.com,0988856736,password125,255 Hai Ba Trung,Ho Chi Minh,Viet Nam,Female,26/07/1980,4855,TRUE,2024-08-20T08:06:51.754
126,lechau126,Le Chau,lechau126@,0934671415,password126,195 Nguyen Trai,Nha Trang,Viet Nam,Male,17/07/2004,3559,FALSE,2023-11-30T08:06:51.754
127,vunga127,Vu Nga,vunga127@yahoo.com,0338070226,password127,216 Hai Ba Trung,Hai Phong,Viet Nam,Female,16/03/1994,1729,TRUE,2024-12-25T08:06:51.754
128,vuthigiang128,Vu Thi Giang,vuthigiang128@yahoo.com,05046922,password128,256 Le Loi,Nha Trang,Viet Nam,Male,14/02/1990,3061,TRUE,2022-09-30T08:06:51.754
129,buiminh129,Bui Minh,buiminh129@gmail.com,0381429698,password129,222 Nguyen Trai,Nha Trang,Viet Nam,Female,10/07/2002,3466,TRUE,2023-09-01T08:06:51.754
130,buihieu130,Bui Hieu,buihieu130@outlook.com,09959044,password130,230 Hai Ba Trung,Can Tho,Viet Nam,Male,24/10/1971,4211,TRUE,2023-10-10T08:06:51.754
131,dangviet131,Dang Viet,dangviet131@yahoo.com,0353080159,password131,75 Ly Thuong Kiet,Hai Phong,Viet Nam,Male,14/10/1973,4711,TRUE,2025-01-11T08:06:51.754
132,leson132,Le Son,leson132@gmail.com,0790345357,password132,56 Ly Thuong Kiet,Hai Phong,Viet Nam,Male,05/12/1985,3981,TRUE,2024-04-04T08:06:51.754
133,huynhhuuhieu133,Huynh Huu Hieu,huynhhuuhieu133@yahoo.com,0314319678,password133,177 Cach Mang Thang 8,Ha Noi,Viet Nam,Female,10/01/1988,2839,TRUE,2025-03-27T08:06:51.754
134,vuquangduc134,Vu Quang Duc,vuquangduc134@outlook.com,0925940861,password134,4 Hai Ba Trung,Da Nang,Viet Nam,Female,13/09/1987,1359,TRUE,2024-03-08T08:06:51.754
135,phaman135,Pham An,phaman135@outlook.com,0814844050,password135,82 Nguyen Trai,Ha Noi,Viet Nam,Male,09/03/1994,1871,TRUE,2022-07-16T08:06:51.754
136,duongngocquang136,Duong Ngoc Quang,duongngocquang136@outlook.com,0521727862,password136,218 Ly Thuong Kiet,Ho Chi Minh,Viet Nam,Female,18/06/1977,4577,TRUE,2023-10-13T08:06:51.754
137,dangquangchau137,Dang Quang Chau,dangquangchau137outlook.com,0719372603,password137,155 Ly Thuong Kiet,Nha Trang,Viet Nam,Female,17/09/2000,28,TRUE,2025-07-11T08:06:51.754
138,duongthao138,Duong Thao,duongthao138@outlook.com,0975158618,password138,256 Ly Thuong Kiet,Ha Noi,Viet Nam,Male,16/09/1988,3961,TRUE,2022-02-14T08:06:51.754
139,phamquang139,Pham Quang,phamquang139@yahoo.com,0874030986,password139,26 Cach Mang Thang 8,Ha Noi,Viet Nam,Male,28/01/1979,2511,FALSE,2025-06-23T08:06:51.754
140,duonganhchau140,Duong Anh Chau,duonganhchau140@gmail.com,0817826589,password140,232 Tran Hung Dao,Nha Trang,Viet Nam,Female,25/02/1995,4295,TRUE,2022-12-05T08:06:51.754
141,hoangdat141,Hoang Dat,hoangdat141@gmail.com,0829489267,password141,242 Ly Thuong Kiet,Can Tho,Viet Nam,Male,20/07/1987,222,TRUE,2023-11-26T08:06:51.754
142,dangyen142,Dang Yen,dangyen142@outlook.com,0733858515,password142,184 Cach Mang Thang 8,Hai Phong,Viet Nam,Female,12/02/1984,1614,TRUE,2023-12-30T08:06:51.754
143,nguyentrang143,Nguyen Trang,nguyentrang143@yahoo.com,0538518330,password143,266 Nguyen Trai,Da Nang,Viet Nam,Female,17/09/1996,4923,FALSE,2025-06-03T08:06:51.754
